,Description,Gerne,Label
0,"Ngày Xưa Có Một Chuyện Tình
NGÀY XƯA CÓ MỘT CHUYỆN TÌNH là tác phẩm mới tinh thứ 2 trong năm 2016 của nhà văn Nguyễn Nhật Ánh dài hơn 300 trang, được coi là tập tiếp theo của tập truyện Mắt biếc. Có một tình yêu dữ dội, với em, của một người yêu em hơn chính bản thân mình - là anh.
Ngày xưa có một chuyện tình có phải là một câu chuyện cảm động khi người ta yêu nhau, nỗi khát khao một hạnh phúc êm đềm ấm áp đến thế; hay đơn giản chỉ là chuyện ba người - anh, em, và người ấy…?
Bạn hãy mở sách ra, để chứng kiến làn gió tình yêu chảy qua như rải nắng trên khuôn mặt mùa đông của cô gái; nụ hôn đầu tiên ngọt mật, cái ôm đầu tiên, những giọt nước mắt và cái ôm xiết cuối cùng… rồi sẽ tìm thấy câu trả lời, cho riêng mình.",Tiểu Thuyết,1
1,"Đi Qua Hoa Cúc
Cuốn Đi Qua Hoa Cúc là tập truyện dài của Nguyễn Nhật Ánh, mở đầu câu truyện tác giả kể lại tuổi ấu thơ hồn nhiên của nhân vật trong truyện, kết hợp với tả cảnh ở miền quê, những ngôi nhà nằm dọc hai bên đường đá sỏi dọc theo hai bên hàng dâm bụt và cả cây sứ cây bàng tỏa bóng mát, tỏa hương thơm trước sân nhà. Một nét vẽ nên thơ thật đầm ấm ở một vùng quê xa xôi tác giả dường như làm ấm lòng cho người đọc.
Thật vậy mỗi cốt truyện của Nguyễn Nhật Ánh đã phác họa lên một nét quê hương ngọt ngào, một thời ấu thơ đẹp, một tình yêu của tuổi học trò cũng hòa lẫn tình yêu khát khao của bao lứa tuổi.
Cuốn truyện dài Đi Qua Hoa Cúc là một trong những tác phẩm tuyệt tác hay của tác giả làm thôi thúc người đọc thêm nhiều ấn tượng và sự lôi cuốn tràn dâng trong lòng bạn đọc.",Tiểu Thuyết,1
2,"Cô Gái Đến Từ Hôm Qua
Nếu ngày xưa còn bé, Thư luôn tự hào mình là cậu con trai thông minh có quyền bắt nạt và sai khiến các cô bé cùng lứa tuổi thì giờ đây khi lớn lên, anh luôn khổ sở khi thấy mình ngu ngơ và bị con gái “xỏ mũi”.
Và điều nghịch lý ấy xem ra càng “trớ trêu’ hơn, khi như một định mệnh, Thư nhận ra Việt An, cô bạn học thông minh thường làm mình bối rối bấy lâu nay chính là Tiểu Li, con bé hàng xóm ngốc nghếch từng hứng chịu những trò nghịch ngợm của mình hồi xưa.",Tiểu Thuyết,1
3,"Những ngày thơ ấu có thể coi là một tác phẩm xuất sắc. Đây là tập hồi ký về tuổi thơ ghi lại những “rung động cực điểm của một linh hồn trẻ dại”.
Cuốn sách bao gồm những phần chính sau:
- Tiếng kèn
- Chúa thương xót chúng con
- Truỵ lạc
- Trong lòng mẹ
- Đêm noel
- Trong đêm đông
- Đồng xu cái
- Sa ngã
- Một bước ngắn.
Trích đoạn
Thầy tôi đã lạnh lùng đứng dậy, đi vào nhà trong mặc bà tôi ngồi kể lể. Tôi nhìn nét mặt thầy tôi thấy sao mà dữ, mà sợ. Chờ thầy tôi khuất hẳn, tôi vội trèo lên giường bà tôi, lay vai bà tôi, rơm rớm nước mắt nói:
- Bà! Bà đừng khóc nữa. Cậu bán nhà này của bà đi rồi cậu làm nhà khác mà.
Một giọng mếu máo đáp:
- Có làm thêm mấy cái đèn bàn nữa đấy! Bố mẹ mày giết tao...Hồng ơi!...
Tôi càng lay mạnh vai bà tôi:
- Cậu con không làm được thì lớn lên con đi học con làm cho bà. Bà nín đi...",Tiểu Thuyết,1
4,"Đến tuổi cập kê, Tristran Thorn đem lòng si mê một thiếu nữ xinh đẹp trong ngôi làng Bức Tường nơi anh lớn lên. Vì lời hứa sẽ cùng cô sánh vai trong thánh đường, chàng trai trẻ khăn gói lên đường tiến vào Xứ Tiên để tìm một ngôi sao băng từ trên trời rơi xuống. Chuyến phiêu lưu ở xứ sở kỳ lạ, rùng rợn mà đầy nhiệm màu đã xoay chuyển con người và thế giới quan của Tristran theo những cách anh chưa từng ngờ đến, biến anh thành một người hùng chân chính trong câu chuyện của mình.
Cổ quái và nhân văn, đen tối và giàu cảm xúc, Bụi sao đem đến vô khối những câu chuyện chưa kể đằng sau cuộc hành trình tầm mộng của một vị anh hùng trẻ tuổi, cốt để chứng tỏ rằng chuyện thần tiên thực chất cũng dành cho người lớn.",Tiểu Thuyết,1
5,"Có Hai Con Mèo Ngồi Bên Cửa Sổ
Ó HAI CON MÈO NGỒI BÊN CỬA SỔ là tác phẩm đầu tiên của nhà văn Nguyễn Nhật Ánh viết theo thể loại đồng thoại. Đặc biệt hơn nữa là viết về tình bạn của hai loài vốn là thù địch của nhau mèo và chuột. Đó là tình bạn giữa mèo Gấu và chuột Tí Hon.
Để biết tại sao mèo Gấu lại chơi thân với chuột Tí Hon, thì mời bạn hãy mở sách ra.
Cuốn truyện mỏng mảnh vừa phải, hình vẽ của họa sĩ Hoàng Tường sinh động đến từng nét nũng nịu hay kiêu căng của nàng mèo người yêu mèo Gấu, câu chuyện thì hấp dẫn duyên dáng điểm những bài thơ tình lãng mạn nao lòng song đọc to lên thì khiến cười hinh hích…
Bạn hãy đọc nhé, để thấy, Nguyễn Nhật Ánh đã viết truyện đồng thoại theo cái cách của riêng mình độc đáo như thế nào.",Tiểu Thuyết,1
6,"Tiệm Bánh Chuối Hạnh Phúc
Akane, một phụ nữ 50 tuổi hiền hòa, giỏi làm bánh bị chồng đột ngột đòi ly hôn. Sự ích kỷ của người chồng khiến cô sốc và rơi vào trầm cảm. Con gái cô – Nana đang làm nhân viên văn phòng luật đã cùng những thành viên khác trong khu phố thương mại động viên Akane bán những chiếc bánh ngọt tự làm. Hai mẹ con cùng hợp sức mở tiệm bánh và thực hiện màn ""trả thù đời ngọt ngào!
Tiệm bánh chuối hạnh phúc là câu chuyện cảm động, ấm áp tình cảm gắn bó giữa hai mẹ con cùng nhau làm ra những chiếc bánh hạnh phúc.",Tiểu Thuyết,1
7,"Sau những thế giới hư cấu tuyệt vời trong những tác phẩm trước đó, Neil Gaiman, một trong những cây bút hấp dẫn của thể loại truyện giả tưởng, đã trở lại với một thế giới nguyên sơ và nguyên bản hơn với các vị thần Bắc Âu, cùng Odin, Thor và Loki, Cây tần bì Yggdrasil nối liền cửu giới, những người khổng lồ, những người lùn…
Tập sách nhỏ này kể lại những câu chuyện mà hẳn nhiều người đã biết nhưng hoặc không rõ hoặc đã lãng quên. Neil Gaiman, bằng tài năng xuất chúng và tình yêu sâu sắc dành cho thần thoại của một vùng đất lạnh giá với những đêm đông dài thật dài và những ngày hè vô tận, đã thổi một hơi thở mới vào Thần thoại Bắc Âu, xâu chuỗi những mẩu chuyện nhỏ thành một hành trình liền mạch, mê say và cuốn hút, từ “băng giá và lửa cháy buổi đầu vũ trụ cho tới lửa cháy và băng giá đã kết thúc thế giới.”",Tiểu Thuyết,1
8,"Hãy mường tượng một thế giới nơi truyền hình thống trị và văn chương ngấp nghé trên bờ tuyệt chủng, nơi thông tin nông cạn được tung hô còn tri thức và ý tưởng thì bị ruồng rẫy, nơi tàng trữ sách là phạm pháp, ta có thể bị bắt chỉ vì tản bộ trên vỉa hè, còn nhiệm vụ của những người lính không phải cứu hỏa mà là châm mồi cho những đám cháy… Khi khắc họa cái xã hội giả tưởng ấy qua con mắt nhìn khủng hoảng niềm tin của anh lính phóng hỏa Montag, Ray  Bradbury chắc không thể ngờ vào tính tiên tri khủng khiếp của cuốn sách. Xã hội chúng ta đang sống ngày nay giống với những gì Bradbury mô tả đến rùng mình: một nền văn minh lệ thuộc quá nhiều vào truyền thông, giải trí và công nghệ. Bởi lẽ đó, hơn sáu chục năm kể từ lần đầu xuất bản, 451 độ F vẫn đủ sức khiến bất kỳ ai đọc nó phải sửng sốt và choáng váng.",Tiểu Thuyết,1
9,"Truyền Kỳ Mạn Lục là tập truyện gồm 20 truyện ghi chép lại những truyện li kì được kể trong dân gian. Tác giả Nguyễn Dữ (thế kỉ 16) đã tạo nên dấu ấn trong nền văn học nước nhà bằng cách kể chuyện bậc thầy, vì thế đây được xem là một trong những tác phẩm tiêu biểu nhất của văn học trung đại Việt Nam. Lần xuất bản này, các truyện có kèm tranh minh họa đẹp xuất sắc của họa sĩ Nguyễn Công Hoan. Truyện và tranh đều đẹp, làm nên một ấn phẩm dạng artbook là món quà tuyệt vời cho những người yêu sách.
***
Ấn phẩm kỉ niệm 65 năm thành lập NXB Kim Đồng (1957-2022)",Tiểu Thuyết,1
